symbol,name,exchange,is_etf,test_issue,yf_symbol,status
CPSS,"Consumer Portfolio Services, Inc. - Common Stock",NASDAQ,N,N,CPSS,Active
CPT,Camden Property Trust Common Stock,NYSE,N,N,CPT,Active
CR,Crane Company Common Stock,NYSE,N,N,CR,Active
CRAC,Crown Reserve Acquisition Corp. I - Class A Ordinary Shares,NASDAQ,N,N,CRAC,Active
CRAI,"CRA International,Inc. - Common Stock",NASDAQ,N,N,CRAI,Active
CRAN,Crane Harbor Acquisition Corp. II - Class A Ordinary Shares,NASDAQ,N,N,CRAN,Active
CRAQ,Cal Redwood Acquisition Corp. - Class A Ordinary Shares,NASDAQ,N,N,CRAQ,Active
CRBG,Corebridge Financial Inc. Common Stock,NYSE,N,N,CRBG,Active
CRBP,"Corbus Pharmaceuticals Holdings, Inc. - Common Stock",NASDAQ,N,N,CRBP,Active
CRBU,"Caribou Biosciences, Inc. - Common Stock",NASDAQ,N,N,CRBU,Active
CRC,California Resources Corporation Common Stock,NYSE,N,N,CRC,Active
CRCL,"Circle Internet Group, Inc. Class A Common Stock",NYSE,N,N,CRCL,Active
CRCT,"Cricut, Inc. - Class A common stock",NASDAQ,N,N,CRCT,Active
CRDF,"Cardiff Oncology, Inc. - Common Stock",NASDAQ,N,N,CRDF,Active
CRDL,Cardiol Therapeutics Inc. - Class A Common Shares,NASDAQ,N,N,CRDL,Active
CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,NASDAQ,N,N,CRDO,Active
CRE,Cre8 Enterprise Limited - Class A Ordinary Shares,NASDAQ,N,N,CRE,Active
CREX,"Creative Realities, Inc. - Common Stock",NASDAQ,N,N,CREX,Active
CRGO,Freightos Limited - Ordinary shares,NASDAQ,N,N,CRGO,Active
CRGOW,Freightos Limited - Warrants,NASDAQ,N,N,CRGOW,Active
CRGY,Crescent Energy Company Class A Common Stock,NYSE,N,N,CRGY,Active
CRH,CRH PLC Ordinary Shares,NYSE,N,N,CRH,Active
CRI,"Carter's, Inc. Common Stock",NYSE,N,N,CRI,Active
CRIS,"Curis, Inc. - Common Stock",NASDAQ,N,N,CRIS,Active
CRK,"Comstock Resources, Inc. Common Stock",NYSE,N,N,CRK,Active
CRL,"Charles River Laboratories International, Inc. Common Stock",NYSE,N,N,CRL,Active
CRM,"Salesforce, Inc. Common Stock",NYSE,N,N,CRM,Active
CRMD,CorMedix Inc. - Common Stock,NASDAQ,N,N,CRMD,Active
CRML,Critical Metals Corp. - Ordinary Shares,NASDAQ,N,N,CRML,Active
CRMLW,Critical Metals Corp. - Warrants,NASDAQ,N,N,CRMLW,Active
CRMT,"America's Car-Mart, Inc. - Common Stock",NASDAQ,N,N,CRMT,Active
CRNC,Cerence Inc. - Common Stock,NASDAQ,N,N,CRNC,Active
CRNT,Ceragon Networks Ltd. - Ordinary Shares,NASDAQ,N,N,CRNT,Active
CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,CRNX,Active
CRON,Cronos Group Inc. - Common Share,NASDAQ,N,N,CRON,Active
CROX,"Crocs, Inc. - Common Stock",NASDAQ,N,N,CROX,Active
CRS,Carpenter Technology Corporation Common Stock,NYSE,N,N,CRS,Active
CRSP,CRISPR Therapeutics AG - Common Shares,NASDAQ,N,N,CRSP,Active
CRSR,"Corsair Gaming, Inc. - Common Stock",NASDAQ,N,N,CRSR,Active
CRT,Cross Timbers Royalty Trust Common Stock,NYSE,N,N,CRT,Active
CRUS,"Cirrus Logic, Inc. - Common Stock",NASDAQ,N,N,CRUS,Active
CRVL,CorVel Corp. - Common Stock,NASDAQ,N,N,CRVL,Active
CRVO,CervoMed Inc. - Common Stock,NASDAQ,N,N,CRVO,Active
CRVS,"Corvus Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,CRVS,Active
CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",NASDAQ,N,N,CRWD,Active
CRWS,"Crown Crafts, Inc. - Common Stock",NASDAQ,N,N,CRWS,Active
CRWV,"CoreWeave, Inc. - Class A Common Stock",NASDAQ,N,N,CRWV,Active
CSAI,"Cloudastructure, Inc. - Class A Common Stock",NASDAQ,N,N,CSAI,Active
CSAN,Cosan S.A. ADS,NYSE,N,N,CSAN,Active
CSBR,"Champions Oncology, Inc. - Common Stock",NASDAQ,N,N,CSBR,Active
CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,N,N,CSCO,Active
CSGP,"CoStar Group, Inc. - Common Stock",NASDAQ,N,N,CSGP,Active
CSHR,CoinShares PLC - Ordinary Shares,NASDAQ,N,N,CSHR,Active
CSHRW,CoinShares PLC - Warrants,NASDAQ,N,N,CSHRW,Active
CSIQ,Canadian Solar Inc. - Common Shares,NASDAQ,N,N,CSIQ,Active
CSL,Carlisle Companies Incorporated Common Stock,NYSE,N,N,CSL,Active
CSPI,CSP Inc. - Common Stock,NASDAQ,N,N,CSPI,Active
CSQR,"Csquare, Inc. Common Stock",NYSE,N,N,CSQR,Active
CSR,D/B/A Centerspace Common Stock,NYSE,N,N,CSR,Active
CSTE,Caesarstone Ltd. - Ordinary Shares,NASDAQ,N,N,CSTE,Active
CSTL,"Castle Biosciences, Inc. - Common stock",NASDAQ,N,N,CSTL,Active
CSTM,Constellium SE Ordinary Shares (France),NYSE,N,N,CSTM,Active
CSV,"Carriage Services, Inc. Common Stock",NYSE,N,N,CSV,Active
CSW,"CSW Industrials, Inc. Common Stock",NYSE,N,N,CSW,Active
CSWC,Capital Southwest Corporation - Common Stock,NASDAQ,N,N,CSWC,Active
CSX,CSX Corporation - Common Stock,NASDAQ,N,N,CSX,Active
CTAA,ClearThink 1 Acquisition Corp. - Class A Ordinary Shares,NASDAQ,N,N,CTAA,Active
CTAS,Cintas Corporation - Common Stock,NASDAQ,N,N,CTAS,Active
CTBI,"Community Trust Bancorp, Inc. - Common Stock",NASDAQ,N,N,CTBI,Active
CTEV,Claritev Corporation Class A Common Stock,NYSE,N,N,CTEV,Active
CTGO,Contango Silver & Gold Inc. Common Stock,NYSE American,N,N,CTGO,Active
CTKB,"Cytek Biosciences, Inc. - Common Stock",NASDAQ,N,N,CTKB,Active
CTM,"Castellum, Inc. Common Stock",NYSE American,N,N,CTM,Active
CTMX,"CytomX Therapeutics, Inc. - Common Stock",NASDAQ,N,N,CTMX,Active
CTNM,"Contineum Therapeutics, Inc. - Common stock",NASDAQ,N,N,CTNM,Active
CTNT,Cheetah Net Supply Chain Service Inc. - Class A Common Stock,NASDAQ,N,N,CTNT,Active
CTO,"CTO Realty Growth, Inc. Common Stock",NYSE,N,N,CTO,Active
CTOR,"Citius Oncology, Inc.  - Common Stock",NASDAQ,N,N,CTOR,Active
CTOS,"Custom Truck One Source, Inc. Common Stock",NYSE,N,N,CTOS,Active
CTRE,"CareTrust REIT, Inc. Common Stock",NYSE,N,N,CTRE,Active
CTRI,"Centuri Holdings, Inc. Common Stock",NYSE,N,N,CTRI,Active
CTRM,Castor Maritime Inc. - Common Shares,NASDAQ,N,N,CTRM,Active
CTRN,"Citi Trends, Inc. - Common Stock",NASDAQ,N,N,CTRN,Active
CTS,CTS Corporation Common Stock,NYSE,N,N,CTS,Active
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,NASDAQ,N,N,CTSH,Active
CTSO,Cytosorbents Corporation - Common Stock,NASDAQ,N,N,CTSO,Active
CTVA,"Corteva, Inc. Common Stock ",NYSE,N,N,CTVA,Active
CTW,CTW - Class A Ordinary Shares,NASDAQ,N,N,CTW,Active
CTXR,"Citius Pharmaceuticals, Inc. - Common Stock",NASDAQ,N,N,CTXR,Active
CUB,Lionheart Holdings - Class A Ordinary Shares,NASDAQ,N,N,CUB,Active
CUBE,CubeSmart Common Shares,NYSE,N,N,CUBE,Active
CUBI,"Customers Bancorp, Inc Common Stock",NYSE,N,N,CUBI,Active
CUE,"Cue Biopharma, Inc. - Common Stock",NASDAQ,N,N,CUE,Active
CULP,"Culp, Inc. - Common Shares",NASDAQ,N,N,CULP,Active
CUPR,Cuprina Holdings (Cayman) Limited - Class A Ordinary shares,NASDAQ,N,N,CUPR,Active
CURB,Curbline Properties Corp. Common Stock,NYSE,N,N,CURB,Active
CURI,CuriosityStream Inc.  - Class A Common Stock,NASDAQ,N,N,CURI,Active
CURR,Currenc Group Inc. - Ordinary Shares,NASDAQ,N,N,CURR,Active
CURV,Torrid Holdings Inc. Common Stock,NYSE,N,N,CURV,Active
CURX,Curanex Pharmaceuticals Inc - Common Stock,NASDAQ,N,N,CURX,Active
CUZ,Cousins Properties Incorporated Common Stock,NYSE,N,N,CUZ,Active
CV,"CapsoVision, Inc. - Common Stock",NASDAQ,N,N,CV,Active
CVBF,CVB Financial Corporation - Common Stock,NASDAQ,N,N,CVBF,Active
CVCO,"Cavco Industries, Inc. - Common Stock",NASDAQ,N,N,CVCO,Active
CVE,Cenovus Energy Inc Common Stock,NYSE,N,N,CVE,Active
CVEO,Civeo Corporation (Canada) Common Shares,NYSE,N,N,CVEO,Active
CVGI,"Commercial Vehicle Group, Inc. - Common Stock",NASDAQ,N,N,CVGI,Active
CVI,CVR Energy Inc. Common Stock,NYSE,N,N,CVI,Active
CVKD,"Cadrenal Therapeutics, Inc. - Common Stock",NASDAQ,N,N,CVKD,Active
CVLG,"Covenant Logistics Group, Inc. Class A Common Stock",NYSE,N,N,CVLG,Active
CVLT,"Commvault Systems, Inc. - Common Stock",NASDAQ,N,N,CVLT,Active
CVM,Cel-Sci Corporation Common Stock,NYSE American,N,N,CVM,Active
CVNA,Carvana Co. Class A Common Stock,NYSE,N,N,CVNA,Active
CVR,Chicago Rivet & Machine Co. Common Stock,NYSE American,N,N,CVR,Active
CVRX,"CVRx, Inc. - Common Stock",NASDAQ,N,N,CVRX,Active
CVS,CVS Health Corporation Common Stock,NYSE,N,N,CVS,Active
CVSA,Covista Inc. Common Shares,NYSE,N,N,CVSA,Active
CVU,"CPI Aerostructures, Inc. Common Stock",NYSE American,N,N,CVU,Active
CVV,CVD Equipment Corporation - Common Stock,NASDAQ,N,N,CVV,Active
CVX,Chevron Corporation Common Stock,NYSE,N,N,CVX,Active
CW,Curtiss-Wright Corporation Common Stock,NYSE,N,N,CW,Active
CWBC,Community West Bancshares - Common Stock,NASDAQ,N,N,CWBC,Active
CWCO,Consolidated Water Co. Ltd. - Ordinary Shares,NASDAQ,N,N,CWCO,Active
CWD,CaliberCos Inc. - Class A Common Stock,NASDAQ,N,N,CWD,Active
CWEN,"Clearway Energy, Inc. Class C Common Stock",NYSE,N,N,CWEN,Active
CWH,"Camping World Holdings, Inc. Class A Common Stock",NYSE,N,N,CWH,Active
CWK,Cushman & Wakefield Ltd. Common Shares,NYSE,N,N,CWK,Active
CWST,"Casella Waste Systems, Inc. - Class A Common Stock",NASDAQ,N,N,CWST,Active
CWT,California Water Service Group Common Stock,NYSE,N,N,CWT,Active
CX,"Cemex, S.A.B. de C.V. Sponsored ADR",NYSE,N,N,CX,Active
CXAI,CXApp Inc. - Class A Common Stock,NASDAQ,N,N,CXAI,Active
CXDO,"Crexendo, Inc. - Common Stock",NASDAQ,N,N,CXDO,Active
CXII,Churchill Capital Corp XII - Class A Ordinary Shares,NASDAQ,N,N,CXII,Active
CXIIW,Churchill Capital Corp XII - Warrants,NASDAQ,N,N,CXIIW,Active
CXM,"Sprinklr, Inc. Class A Common Stock",NYSE,N,N,CXM,Active
CXT,"Crane NXT, Co. Common Stock",NYSE,N,N,CXT,Active
CXW,"CoreCivic, Inc. Common Stock",NYSE,N,N,CXW,Active
CYAB,"Cyabra, Inc. - Common Stock",NASDAQ,N,N,CYAB,Active
CYCN,"Cyclerion Therapeutics, Inc. - Common Stock",NASDAQ,N,N,CYCN,Active
CYCU,"Cycurion, Inc. - Common Stock",NASDAQ,N,N,CYCU,Active
CYCUW,"Cycurion, Inc. - Warrants",NASDAQ,N,N,CYCUW,Active
CYD,China Yuchai International Limited Common Stock,NYSE,N,N,CYD,Active
CYH,"Community Health Systems, Inc. Common Stock",NYSE,N,N,CYH,Active
CYN,Cyngn Inc. - Common stock,NASDAQ,N,N,CYN,Active
CYPH,Cypherpunk Technologies Inc. - Common Stock,NASDAQ,N,N,CYPH,Active
CYRX,"CryoPort, Inc. - Common Stock",NASDAQ,N,N,CYRX,Active
CYTK,"Cytokinetics, Incorporated - Common Stock",NASDAQ,N,N,CYTK,Active
CZFS,"Citizens Financial Services, Inc. - Common Stock",NASDAQ,N,N,CZFS,Active
CZNC,Citizens & Northern Corp - Common Stock,NASDAQ,N,N,CZNC,Active
CZR,"Caesars Entertainment, Inc. - Common Stock",NASDAQ,N,N,CZR,Active
CZWI,"Citizens Community Bancorp, Inc. - Common Stock",NASDAQ,N,N,CZWI,Active
D,"Dominion Energy, Inc. Common Stock",NYSE,N,N,D,Active
DAAQ,Digital Asset Acquisition Corp. - Class A Ordinary shares,NASDAQ,N,N,DAAQ,Active
DAC,Danaos Corporation Common Stock,NYSE,N,N,DAC,Active
DAIC,"CID HoldCo, Inc. - Common Stock",NASDAQ,N,N,DAIC,Active
DAICW,"CID HoldCo, Inc. - Warrants",NASDAQ,N,N,DAICW,Active
DAIO,Data I/O Corporation - Common Stock,NASDAQ,N,N,DAIO,Active
DAKT,"Daktronics, Inc. - Common Stock",NASDAQ,N,N,DAKT,Active
DAL,"Delta Air Lines, Inc. Common Stock",NYSE,N,N,DAL,Active
DAN,Dana Incorporated Common Stock ,NYSE,N,N,DAN,Active
DAR,Darling Ingredients Inc. Common Stock,NYSE,N,N,DAR,Active
DARE,"Dare Bioscience, Inc. - Common Stock",NASDAQ,N,N,DARE,Active
DASH,"DoorDash, Inc. - Common Stock",NASDAQ,N,N,DASH,Active
DAVE,Dave Inc.  - Class A Common Stock,NASDAQ,N,N,DAVE,Active
DAVEW,Dave Inc.  - Warrants,NASDAQ,N,N,DAVEW,Active
DB,Deutsche Bank AG Common Stock,NYSE,N,N,DB,Active
DBCA,D. Boral Acquisition I Corp. - Class A Ordinary Shares,NASDAQ,N,N,DBCA,Active
DBCAW,D. Boral Acquisition I Corp. - Warrants,NASDAQ,N,N,DBCAW,Active
DBD,Diebold Nixdorf Incorporated Common stock,NYSE,N,N,DBD,Active
DBGI,"Digital Brands Group, Inc. - Common Stock",NASDAQ,N,N,DBGI,Active
DBI,Designer Brands Inc. Class A Common Stock,NYSE,N,N,DBI,Active
DBRG,"DigitalBridge Group, Inc.",NYSE,N,N,DBRG,Active
DBX,"Dropbox, Inc. - Class A Common Stock",NASDAQ,N,N,DBX,Active
DC,Dakota Gold Corp. Common Stock,NYSE American,N,N,DC,Active
DCBO,Docebo Inc. - Common Shares,NASDAQ,N,N,DCBO,Active
DCGO,DocGo Inc. - Common Stock,NASDAQ,N,N,DCGO,Active
DCH,Dauch Corporation Common Stock,NYSE,N,N,DCH,Active
DCI,"Donaldson Company, Inc. Common Stock",NYSE,N,N,DCI,Active
DCO,Ducommun Incorporated Common Stock,NYSE,N,N,DCO,Active
DCOM,"Dime Commercial Bancshares, Inc. Common Stock",NYSE,N,N,DCOM,Active
DCOY,Decoy Therapeutics Inc. - Common Stock,NASDAQ,N,N,DCOY,Active
DCTH,"Delcath Systems, Inc. - Common Stock",NASDAQ,N,N,DCTH,Active
DCX,Digital Currency X Technology Inc. - Class A Ordinary Shares,NASDAQ,N,N,DCX,Active
DD,"DuPont de Nemours, Inc. Common Stock",NYSE,N,N,DD,Active
DDC,DDC Enterprise Limited Class A Ordinary Shares,NYSE American,N,N,DDC,Active
DDD,3D Systems Corporation Common Stock,NYSE,N,N,DDD,Active
DDI,"DoubleDown Interactive Co., Ltd. - American Depository Shares",NASDAQ,N,N,DDI,Active
DDOG,"Datadog, Inc. - Class A Common Stock",NASDAQ,N,N,DDOG,Active
DDS,"Dillard's, Inc. Common Stock",NYSE,N,N,DDS,Active
DDT,Dillard's Capital Trust I,NYSE,N,N,DDT,Active
DE,Deere & Company Common Stock,NYSE,N,N,DE,Active
DEA,"Easterly Government Properties, Inc. Common Stock",NYSE,N,N,DEA,Active
DEC,Diversified Energy Company Common Stock,NYSE,N,N,DEC,Active
DECK,Deckers Outdoor Corporation Common Stock,NYSE,N,N,DECK,Active
DEFT,"Defi Technologies, Inc. - Common Stock",NASDAQ,N,N,DEFT,Active
DEI,"Douglas Emmett, Inc. Common Stock",NYSE,N,N,DEI,Active
DELL,Dell Technologies Inc. Class C Common Stock ,NYSE,N,N,DELL,Active
DEO,Diageo plc Common Stock,NYSE,N,N,DEO,Active
DERM,Journey Medical Corporation - Common Stock,NASDAQ,N,N,DERM,Active
DETX,"Liberty Defense Holdings, Ltd. - Common Shares",NASDAQ,N,N,DETX,Active
DFDV,DeFi Development Corp. - Common Stock,NASDAQ,N,N,DFDV,Active
DFH,"Dream Finders Homes, Inc. Class A Common Stock",NYSE,N,N,DFH,Active
DFIN,"Donnelley Financial Solutions, Inc. Common Stock ",NYSE,N,N,DFIN,Active
DFLI,Dragonfly Energy Holdings Corp - Common Stock,NASDAQ,N,N,DFLI,Active
DFNS,T3 Defense Inc. - Common Stock,NASDAQ,N,N,DFNS,Active
DFNSW,T3 Defense Inc. - Warrants,NASDAQ,N,N,DFNSW,Active
DFSC,"DEFSEC Technologies Inc. - common stock, no R/S concurrent with offering",NASDAQ,N,N,DFSC,Active
DFTX,"Definium Therapeutics, Inc.  - Common Shares",NASDAQ,N,N,DFTX,Active
DG,Dollar General Corporation Common Stock,NYSE,N,N,DG,Active
DGAC,Disciplined Growth Acquisition Corporation Class A Ordinary Shares,NYSE,N,N,DGAC,Active
DGICA,"Donegal Group, Inc. - Class A Common Stock",NASDAQ,N,N,DGICA,Active
DGICB,"Donegal Group, Inc. - Class B Common Stock",NASDAQ,N,N,DGICB,Active
DGII,Digi International Inc. - Common Stock,NASDAQ,N,N,DGII,Active
DGNX,Diginex Limited - Ordinary Shares,NASDAQ,N,N,DGNX,Active
DGX,Quest Diagnostics Incorporated Common Stock,NYSE,N,N,DGX,Active
DGXX,Digi Power X Inc. - Common Subordinate Voting Shares,NASDAQ,N,N,DGXX,Active
DH,Definitive Healthcare Corp. - Class A Common Stock,NASDAQ,N,N,DH,Active
DHI,"D.R. Horton, Inc. Common Stock",NYSE,N,N,DHI,Active
DHR,Danaher Corporation Common Stock,NYSE,N,N,DHR,Active
DHT,"DHT Holdings, Inc.",NYSE,N,N,DHT,Active
DHX,"DHI Group, Inc. Common Stock",NYSE,N,N,DHX,Active
DIBS,"1stdibs.com, Inc. - Common Stock",NASDAQ,N,N,DIBS,Active
DIN,"Dine Brands Global, Inc. Common Stock",NYSE,N,N,DIN,Active
DINO,HF Sinclair Corporation Common Stock,NYSE,N,N,DINO,Active
DIOD,Diodes Incorporated - Common Stock,NASDAQ,N,N,DIOD,Active
DIS,Walt Disney Company (The) Common Stock,NYSE,N,N,DIS,Active
DIT,AMCON Distributing Company Common Stock,NYSE American,N,N,DIT,Active
DJCO,Daily Journal Corp. (S.C.) - Common Stock,NASDAQ,N,N,DJCO,Active
DJT,Trump Media & Technology Group Corp. - Common Stock,NASDAQ,N,N,DJT,Active
DJTWW,Trump Media & Technology Group Corp. - Warrants,NASDAQ,N,N,DJTWW,Active
DK,"Delek US Holdings, Inc. Common Stock",NYSE,N,N,DK,Active
DKI,DarkIris Inc. - Class A Ordinary Shares,NASDAQ,N,N,DKI,Active
DKNG,DraftKings Inc. - Class A Common Stock,NASDAQ,N,N,DKNG,Active
DKS,Dick's Sporting Goods Inc Common Stock,NYSE,N,N,DKS,Active
DLB,Dolby Laboratories Common Stock,NYSE,N,N,DLB,Active
DLHC,DLH Holdings Corp. - Common Stock,NASDAQ,N,N,DLHC,Active
DLO,DLocal Limited - Class A Common Shares,NASDAQ,N,N,DLO,Active
DLPN,"Dolphin Entertainment, Inc. - Common Stock",NASDAQ,N,N,DLPN,Active
DLR,"Digital Realty Trust, Inc. Common Stock",NYSE,N,N,DLR,Active
DLTH,Duluth Holdings Inc. - Class B Common Stock,NASDAQ,N,N,DLTH,Active
DLTR,"Dollar Tree, Inc. - Common Stock",NASDAQ,N,N,DLTR,Active
DLX,Deluxe Corporation Common Stock,NYSE,N,N,DLX,Active
DLXY,Delixy Holdings Limited - Class A Ordinary Shares,NASDAQ,N,N,DLXY,Active
DMAA,Drugs Made In America Acquisition Corp. - Ordinary Shares,NASDAQ,N,N,DMAA,Active
DMAC,DiaMedica Therapeutics Inc. - Common Stock,NASDAQ,N,N,DMAC,Active
DMC,Del Monte Corporation Ordinary Shares,NYSE,N,N,DMC,Active
DMII,Drugs Made In America Acquisition II Corp. - Ordinary Shares,NASDAQ,N,N,DMII,Active
DMRA,"Damora Therapeutics, Inc. - Ordinary Shares",NASDAQ,N,N,DMRA,Active
DMRC,Digimarc Corporation - Common Stock,NASDAQ,N,N,DMRC,Active
DNA,"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",NYSE,N,N,DNA,Active
DNLI,Denali Therapeutics Inc. - Common Stock,NASDAQ,N,N,DNLI,Active
DNMX,Dynamix Corporation III - Class A Ordinary Shares,NASDAQ,N,N,DNMX,Active
DNMXW,Dynamix Corporation III - Warrants,NASDAQ,N,N,DNMXW,Active
DNN,Denison Mines Corp Ordinary Shares (Canada),NYSE American,N,N,DNN,Active
DNOW,DNOW Inc. Common Stock,NYSE,N,N,DNOW,Active
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",NASDAQ,N,N,DNTH,Active
DNUT,"Krispy Kreme, Inc. - Common Stock",NASDAQ,N,N,DNUT,Active
DOC,"Healthpeak Properties, Inc. Common Stock",NYSE,N,N,DOC,Active
DOCN,"DigitalOcean Holdings, Inc. Common Stock",NYSE,N,N,DOCN,Active
DOCS,"Doximity, Inc. Class A Common Stock",NYSE,N,N,DOCS,Active
DOCU,"DocuSign, Inc. - Common Stock",NASDAQ,N,N,DOCU,Active
DOGZ,Dogness (International) Corporation - Class A Common Stock,NASDAQ,N,N,DOGZ,Active
DOLE,Dole plc Ordinary Shares,NYSE,N,N,DOLE,Active
DOMH,Dominari Holdings Inc. - Common Stock,NASDAQ,N,N,DOMH,Active
DOMO,"Domo, Inc. - Class B Common Stock",NASDAQ,N,N,DOMO,Active
DOO,BRP Inc. - Common Subordinate Voting Shares,NASDAQ,N,N,DOO,Active
DORM,"Dorman Products, Inc. - Common Stock",NASDAQ,N,N,DORM,Active
DOUG,Douglas Elliman Inc. Common Stock,NYSE,N,N,DOUG,Active
DOV,Dover Corporation Common Stock,NYSE,N,N,DOV,Active
DOW,Dow Inc. Common Stock ,NYSE,N,N,DOW,Active
DOX,Amdocs Limited - Ordinary Shares,NASDAQ,N,N,DOX,Active
DPC,DPC Holdings PLC Ordinary Shares,NYSE,N,N,DPC,Active
DPRO,Draganfly Inc. - Common Shares,NASDAQ,N,N,DPRO,Active
DPU,Top KingWin Ltd - Class A Ordinary Shares,NASDAQ,N,N,DPU,Active
DPZ,Domino's Pizza Inc - Common Stock,NASDAQ,N,N,DPZ,Active
DRCT,"Direct Digital Holdings, Inc. - Class A Common Stock",NASDAQ,N,N,DRCT,Active
DRDB,Roman DBDR Acquisition Corp. II - Ordinary shares,NASDAQ,N,N,DRDB,Active
DRDBW,Roman DBDR Acquisition Corp. II - Warrants,NASDAQ,N,N,DRDBW,Active
DRH,Diamondrock Hospitality Company - Common Stock,NASDAQ,N,N,DRH,Active
DRI,"Darden Restaurants, Inc. Common Stock",NYSE,N,N,DRI,Active
DRIO,DarioHealth Corp. - Common Stock,NASDAQ,N,N,DRIO,Active
DRMA,"Dermata Therapeutics, Inc. - Common Stock",NASDAQ,N,N,DRMA,Active
DRS,"Leonardo DRS, Inc. - Common Stock",NASDAQ,N,N,DRS,Active
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,NASDAQ,N,N,DRTS,Active
DRUG,Bright Minds Biosciences Inc. - common stock,NASDAQ,N,N,DRUG,Active
DRVN,Driven Brands Holdings Inc. - Common Stock,NASDAQ,N,N,DRVN,Active
DSAC,Daedalus Special Acquisition Corp. - Class A Ordinary Shares,NASDAQ,N,N,DSAC,Active
DSGN,"Design Therapeutics, Inc. - Common Stock",NASDAQ,N,N,DSGN,Active
DSGR,"Distribution Solutions Group, Inc. - Common Stock",NASDAQ,N,N,DSGR,Active
DSGX,The Descartes Systems Group Inc. - Common Stock,NASDAQ,N,N,DSGX,Active
DSP,Viant Technology Inc. - common stock,NASDAQ,N,N,DSP,Active
DSS,"DSS, Inc. Common Stock",NYSE American,N,N,DSS,Active
DSWL,"Deswell Industries, Inc. - Common Shares",NASDAQ,N,N,DSWL,Active
DSX,Diana Shipping inc. common stock,NYSE,N,N,DSX,Active
DSY,Big Tree Cloud Holdings Limited - Class A Ordinary Shares,NASDAQ,N,N,DSY,Active
DSYWW,Big Tree Cloud Holdings Limited - Warrants,NASDAQ,N,N,DSYWW,Active
DT,"Dynatrace, Inc. Common Stock",NYSE,N,N,DT,Active
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,NYSE,N,N,DTB,Active
DTCX,"Datacentrex, Inc. - Common Stock",NASDAQ,N,N,DTCX,Active
DTE,DTE Energy Company Common Stock,NYSE,N,N,DTE,Active
DTG,DTE Energy Company 2021 Series E 4.375% Junior Subordinated Debentures,NYSE,N,N,DTG,Active
DTI,Drilling Tools International Corporation  - Common Stock,NASDAQ,N,N,DTI,Active
DTIL,"Precision BioSciences, Inc. - Common Stock",NASDAQ,N,N,DTIL,Active
DTK,DTE Energy Company 2025 Series H 6.25% Junior Subordinated Debentures due 2085,NYSE,N,N,DTK,Active
DTM,"DT Midstream, Inc. Common Stock ",NYSE,N,N,DTM,Active
DTSQ,DT Cloud Star Acquisition Corporation - Ordinary Shares,NASDAQ,N,N,DTSQ,Active
DTSS,Datasea Intelligent Technology Ltd. - Class A Ordinary Shares,NASDAQ,N,N,DTSS,Active
DTST,Data Storage Corporation - Common Stock,NASDAQ,N,N,DTST,Active
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,NYSE,N,N,DTW,Active
DUK,Duke Energy Corporation (Holding Company) Common Stock,NYSE,N,N,DUK,Active
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,NYSE,N,N,DUKB,Active
DUKR,DUKE Robotics Corp. - Common Stock,NASDAQ,N,N,DUKR,Active
DUO,Fangdd Network Group Ltd. - Class A Ordinary Shares,NASDAQ,N,N,DUO,Active
DUOL,"Duolingo, Inc. - Class A Common Stock",NASDAQ,N,N,DUOL,Active
DUOT,"Duos Technologies Group, Inc. - Common Stock",NASDAQ,N,N,DUOT,Active
DV,"DoubleVerify Holdings, Inc. Common Stock",NYSE,N,N,DV,Active
DVA,DaVita Inc. Common Stock,NYSE,N,N,DVA,Active
DVLT,Datavault AI Inc. - Common Stock,NASDAQ,N,N,DVLT,Active
DVN,Devon Energy Corporation Common Stock,NYSE,N,N,DVN,Active
DWSN,Dawson Geophysical Company - Common Stock,NASDAQ,N,N,DWSN,Active
DWTX,"Dogwood Therapeutics, Inc.  - Common Stock",NASDAQ,N,N,DWTX,Active
DX,"Dynex Capital, Inc. Common Stock",NYSE,N,N,DX,Active
DXC,DXC Technology Company Common Stock ,NYSE,N,N,DXC,Active
DXCM,"DexCom, Inc. - Common Stock",NASDAQ,N,N,DXCM,Active
DXLG,"Destination XL Group, Inc. - Common Stock",NASDAQ,N,N,DXLG,Active
DXPE,"DXP Enterprises, Inc. - Common Stock",NASDAQ,N,N,DXPE,Active
DXST,Decent Holding Inc. - Class A Ordinary Shares,NASDAQ,N,N,DXST,Active
DXYZ,Destiny Tech100 Inc. Common Stock,NYSE,N,N,DXYZ,Active
DY,"Dycom Industries, Inc. Common Stock",NYSE,N,N,DY,Active
